Chemical_Name	SMILES	Type
liothyronine	C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O	ligand
Doxorubicin Hydrochloride	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl	ligand
Pirinixic acid	CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C	ligand
oxaprozin	C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3	ligand
lansoprazole	CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F	ligand
loratadine	CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1	ligand
nimesulide	CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2	ligand
disulfiram	CCN(CC)C(=S)SSC(=S)N(CC)CC	ligand
Lorglumide sodium	CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl.[Na+]	ligand
mefenamic acid	CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C	ligand
ethoxyquin	CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C	ligand
Butyl 4-hydroxybenzoate	CCCCOC(=O)C1=CC=C(C=C1)O	ligand
IOPANOIC ACID	CCC(CC1=C(C(=C(C=C1I)I)N)I)C(=O)O	ligand
bezafibrate	CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl	ligand
omeprazole	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC	ligand
Diclofenac sodium	C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+]	ligand
DSSTox_CID_25584	CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F.CNCC(C(C(C(CO)O)O)O)O	ligand
NCGC00017116-01	CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)[O-].CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)[O-].O.O.[Ca+2]	ligand
Phenazopyridine hydrochloride	C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl	ligand
Cinchophen	C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O	ligand
Zomepirac sodium salt	CC1=C(N(C(=C1)CC(=O)[O-])C)C(=O)C2=CC=C(C=C2)Cl.[Na+]	ligand
