PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,Type of compound activity based on both the PPARg antagonist mode screen and the cell viability counter screens.,Type of compound activity in the ratio readout of the PPARg antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the ratio readout of the PPARg antagonist mode screen.,Percent inhibition in the ratio readout of the PPARg antagonist mode screen.,Type of compound activity in the 530 nm readout of the PPARg antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the 530 nm readout of the PPARg antagonist mode screen.,Percent inhibition in the 530 nm readout of the PPARg antagonist mode screen.,Type of compound activity in the 460 nm readout of the PPARg antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the 460 nm readout of the PPARg antagonist mode screen.,Percent inhibition in the 460 nm readout of the PPARg antagonist mode screen.,Type of compound activity in the cell viability counter screens.,The concentration of sample yielding half-maximal inhibition in the cell viability counter screen.,Percent inhibition in the cell viability counter screen.,Where sample was obtained.
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,
5239,144212251,23675737,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
7702,170465296,23675786,Inactive,0,,,inactive,inactive,,0,active agonist,15.1472,37.3369,active agonist,12.0318,75.6886,inactive,,0,GVK
645,144207657,23675796,Inactive,0,,,inconclusive antagonist (cytotoxic),active antagonist,9.43844,-75.3853,inactive,,0,active antagonist,6.30812,-130.51,inconclusive antagonist,26.6011,-94.5426,Vitas
1563,144208575,23676704,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,Microsource
6553,144213565,23676704,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,2.113,56.0998,inactive,,0,Microsource
4656,144211668,23676735,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Specs
4489,144211501,23676736,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Tocris
2943,144209955,23676745,Inactive,0,,,active antagonist,active antagonist,12.8302,-71.4577,inconclusive agonist,14.1221,30.5756,active antagonist,25.1131,-114.47,inactive,,0,Vitas
4302,144211314,23676752,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,"Prestwick Chemical, Inc."
2362,144209374,23676814,Inactive,0,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,GVK
6219,144213231,23676814,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,11.8823,64.6384,active antagonist,8.09531,-57.0797,Vitas
2755,144209767,23677323,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,Sequoia
7622,170465216,23677829,Inactive,0,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,active agonist,21.13,121.138,inactive,,0,"Prestwick Chemical, Inc."
5624,144212636,23677927,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1431,144208443,23677963,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
6860,144213872,23677963,Inactive,0,,,active antagonist,active antagonist,31.0147,-89.2585,inactive,,0,active antagonist,31.0147,-136.775,inactive,,0,Enzo
4311,144211323,23677967,Active,47,,,inconclusive,inconclusive antagonist,29.847,-56.5575,inconclusive agonist,19.948,24.5781,inactive,,0,active antagonist,10.1914,-83.7497,GVK
5071,144212083,23677979,Inactive,0,,,inconclusive agonist (cytotoxic),active agonist,3.75751,48.6105,inactive,,0,inconclusive agonist,3.75751,80.2794,active antagonist,18.8322,-87.3229,SIGMA
7558,170465152,23678596,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
3702,144210714,23678874,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,5.30763,118.25,inactive,,0,Vitas
5169,144212181,23678979,Active,45,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,Specs
5792,144212804,23679004,Inactive,0,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
6930,144213942,23679813,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inconclusive agonist,,,GVK
4618,144211630,23681045,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7707,170465301,23681059,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,2.9847,-63.0401,inactive,,0,Tocris
7504,170465098,23681107,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inconclusive,,,Tocris
1048,144208060,23681217,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,GVK
8891,170466485,23681233,Active,49,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
5202,144212214,23681382,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
4154,144211166,23682187,Inactive,0,,,active antagonist,active antagonist,25.5996,-97.7427,active agonist,26.6011,51.1812,active antagonist,28.1774,-130.764,inactive,,0,Microsource
4959,144211971,23682559,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,35.4732,-49.9498,inconclusive,,,GVK
5740,144212752,23682789,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,Tocris
5682,144212694,23683016,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Labotest
3467,144210479,23683938,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Bosche
123,144206835,23684123,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,0.943844,-39.2383,inconclusive agonist,,,GVK
7923,170465517,23684827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Kemprotec
1182,144208194,23684896,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,0.398016,-47.1025,inactive,,0,GVK
1237,144208249,23685849,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
5436,144212448,23686673,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
4526,144211538,23687810,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,0.141221,-66.8124,inactive,,0,Tocris
4608,144211620,23688987,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,0.19948,43.2022,inactive,,0,GVK
1319,144208331,23689980,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
5070,144212082,23690437,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,18.8322,73.7657,inconclusive antagonist,0.188322,-21.017,SIGMA
4630,144211642,23690438,Inconclusive,5,,,inconclusive antagonist,inconclusive antagonist,29.847,-35.5189,inactive,,0,active antagonist,2.37083,-52.294,inactive,,0,Vitas
5110,144212122,23690996,Inactive,0,,,inconclusive,inconclusive antagonist,11.5788,-84.7646,inconclusive antagonist,,,inconclusive,,,active antagonist,9.19738,-116.579,SIGMA
8345,170465939,23691021,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,Tocris
5520,144212532,23691974,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
2289,144209301,23692768,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
6687,144213699,23692768,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
7459,170465053,23694214,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
4792,144211804,23695324,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
3687,144210699,23695542,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,"Prestwick Chemical, Inc."
8092,170465686,23697816,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
4402,144211414,23700088,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,Microsource
4651,144211663,23700091,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
6832,144213844,23700188,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
