FROM	Chemical name	CAS No.	SMILES
BPR	Monosodium phosphate	7558-80-7	OP(=O)(O)[O-].[Na+]
BPR	Hydrogen peroxide	7722-84-1	OO
BPR	"Tetrahydro-1,3,4,6-tetrakis(hydroxymethyl)imidazo[4,5-d]imidazole-2,5(1H,3H)-dione"	5395-50-6	OCN1C2C(N(CO)C1=O)N(CO)C(=O)N2CO
BPR	Hypochlorous acid	7790-92-3	OCl
BPR	2-Phenoxyethanol	122-99-6	OCCOc1ccccc1
BPR	Benzyl alcohol	107-21-1	OCCO
BPR	2-phenylethanol	60-12-8	OCCc1ccccc1
BPR	Benzyl Alcohol	100-51-6	OCc1ccccc1
BPR	alphachloralose	15879-93-3	OCC(O)[C@H]1OC2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl
BPR	Biphenyl-2-ol	90-43-7	Oc1ccccc1c2ccccc2
BPR	Benzyl salicylate	118-58-1	Oc1ccccc1C(=O)OCc2ccccc2
BPR	Ortho-benzyl-para-chlorophenol; 4-chloro-2-(phenylmethyl) phenol	120-32-1	Oc1ccc(Cl)cc1Cc2ccccc2
BPR	Triclosan	3380-34-5	Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
BPR	5-chloro-2-(4-chlorphenoxy)phenol (DCPP)	3380-30-1	Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2
BPR	Coumatetralyl	5836-29-3	OC1=C(C2CCCc3ccccc23)C(=O)c4ccccc4O1
BPR	Flocoumafen	90035-08-8	OC1=C(C2CC(Cc3ccccc23)c4ccc(OCc5ccc(cc5)C(F)(F)F)cc4)C(=O)c6ccccc6O1
BPR	Difenacoum	56073-07-5	OC1=C(C2CC(Cc3ccccc23)c4ccc(cc4)c5ccccc5)C(=O)c6ccccc6O1
BPR	Difethialone	104653-34-1	OC1=C(C2CC(Cc3ccccc23)c4ccc(cc4)c5ccc(Br)cc5)C(=O)c6ccccc6S1
BPR	Brodifacoum	56073-10-0	OC1=C(C2CC(Cc3ccccc23)c4ccc(cc4)c5ccc(Br)cc5)C(=O)c6ccccc6O1
BPR	Formic Acid	64-18-6	OC=O
BPR	Bromadiolone	28772-56-7	OC(CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O)c4ccc(cc4)c5ccc(Br)cc5
BPR	Citric acid	77-92-9	OC(=O)CC(O)(CC(O)=O)C(O)=O
BPR	Bromoacetic acid	79-08-3	OC(=O)CBr
BPR	Salicylicacid 	69-72-7	OC(=O)c1ccccc1O
BPR	Benzoic acid	65-85-0	OC(=O)c1ccccc1
BPR	Boric acid	11113-50-1	OB(O)O
BPR	Glutaraldehyde	111-30-8	O=CCCCC=O
BPR	Coumarin	91-64-5	O=C1Oc2ccccc2C=C1
BPR	"1,2-benzisothiazol-3(2H)-one(BIT)"	2634-33-5	O=C1NSc2ccccc12
BPR	Carbon dioxide	124-38-9	O=C=O
BPR	Cinnamaldehyde / 3-phenyl-propen-2-al	104-55-2	O=C/C=C/c1ccccc1
BPR	Benzyl benzoate	120-51-4	O=C(OCc1ccccc1)c2ccccc2
BPR	Diboron trioxide	1303-86-2	O=BOB=O
BPR	Zinc Oxide	1314-13-2	O=[Zn]
BPR	Titanium Dioxide	13463-67-7	O=[Ti]=O
BPR	Silicon Dioxide	7631-86-9	O=[Si]=O
